assay_description,document_journal,document_year,target_chembl_id,target_pref_name,molecule_chembl_id,standard_type,standard_units,canonical_smiles,nIC50,pIC50,MW,LogP,NumHDonors,NumHAcceptors
Binding affinity between MDM2 and p53 protein in fluorescence peptide assay,Bioorg. Med. Chem. Lett.,2005,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL178578,IC50,nM,O=C(O)[C@H](c1ccccc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,1700.0,5.769551078621726,580.3000000000003,5.271500000000002,2.0,3.0
Antiproliferative activity against human LnCAP cell line with wild type p53,J. Med. Chem.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL379505,IC50,nM,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,800.0,6.096910013008056,559.5380000000001,4.192100000000004,3.0,5.0
Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL378662,IC50,nM,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(C(=O)CN2CCNCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,1550.0,5.809668301829708,692.385,4.903300000000004,2.0,6.0
Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL207541,IC50,nM,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(C(=O)CN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,5400.0,5.267606240177032,678.3540000000002,5.748100000000005,0.0,5.0
Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL207202,IC50,nM,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,2390.0,5.621602099051862,653.3440000000003,6.552300000000006,0.0,4.0
Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL378851,IC50,nM,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@H]1c1ccc(Cl)cc1,6250.0,5.204119982655925,664.3710000000003,6.221500000000006,0.0,4.0
Displacement of p53 mimicking fluorescent peptide from Hdm2 by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL209201,IC50,nM,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,2700.0,5.568636235841013,664.3710000000003,6.221500000000006,0.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL411220,IC50,nM,O=C(O)CCN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,1090.0,5.962573502059376,653.2560000000003,5.428700000000004,2.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL209156,IC50,nM,O=C(O)CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,10200.0,4.991399828238082,639.2290000000003,5.038600000000003,2.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL208020,IC50,nM,O=C(O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(Cc2ccncc2)C(=O)C1c1ccc(Cl)cc1,4350.0,5.361510743045363,672.306,6.549200000000005,1.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL210443,IC50,nM,CNC(=O)CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,3330.0,5.47755576649368,652.2720000000002,4.700000000000003,2.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL443053,IC50,nM,CN1C(=O)C(c2ccc(Cl)cc2)N(C(C(=O)O)c2ccc(Cl)cc2)C(=O)c2cc(I)ccc21,2180.0,5.661543506395395,595.22,5.583800000000004,1.0,3.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL207255,IC50,nM,O=C(O)CCNC(=O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,850.0,6.070581074285707,652.272,5.065800000000004,3.0,4.0
Inhibition p53-HDM2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL382422,IC50,nM,O=C(NCCO)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,2120.0,5.673664139071248,624.2620000000001,4.583400000000004,3.0,4.0
Antiproliferative activity against mutant p53 MDA-MB-231 cell line,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL207364,IC50,nM,CC#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1N)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCN1CCOCC1,10000.0,5.0,591.539,5.570500000000006,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL379487,IC50,nM,CN1CCN(CCCCN2C(=O)[C@H](c3ccc(Cl)cc3)N(Cc3ccc(Cl)cc3N)C(=O)c3cc(I)ccc32)CC1,5660.0,5.247183568811729,706.4560000000001,5.938100000000006,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL380399,IC50,nM,CN1CCN(CCCN2C(=O)[C@H](c3ccc(Cl)cc3)N(Cc3ccc(Cl)cc3N)C(=O)c3cc(I)ccc32)CC1,5410.0,5.266802734893431,692.4290000000001,5.548000000000005,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL378998,IC50,nM,CN(C)CCCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,2830.0,5.548213564475709,651.3760000000002,6.252300000000005,1.0,4.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL378030,IC50,nM,O=C1[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2F)C(=O)c2cc(I)ccc2N1CCN1CCOCC1,8600.0,5.0655015487564325,668.3339999999996,5.799600000000004,0.0,4.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL208999,IC50,nM,C[C@H](c1cc(O)c(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,2700.0,5.568636235841013,695.385,5.509300000000005,2.0,6.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL210853,IC50,nM,C[C@H](c1cc(F)c(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,2600.0,5.585026652029182,697.376,5.942800000000006,1.0,5.0
